,Sample Collection Date,Sample ID No.,Host Species,Sample Location - County,Sample Location - State,Sample Location - Site,Isolate_ID_No.,Genbank,CFU,Fungus Classification - Phylum,Fungus Classification - Class,Fungus Classification - Order,Fungus Classification - Family,Fungus Classification -Genus,Fungus Classification - Species,OTU (cluster)
0,20140211,24686_01,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_01_1SD,MK793795,6,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,,,cluster115
1,20140211,24686_01,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_01_2SD,MK793796,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
2,20140211,24686_02,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_02_1SD,MK793797,6,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
3,20140211,24686_02,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_02_2SD,MK793798,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
4,20140211,24686_03,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_03_1SD,MK793799,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
5,20140211,24686_04,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_04_1SD,MK793800,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
6,20140211,24686_05,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_05_1SD,MK793801,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
7,20140211,24686_06,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_06_1SD,MK793802,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
8,20140211,24686_08,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_08_1SD,MK793803,3,Basidiomycota,Exobasidiomycetes,Microstromatales,incertae sedis,Pseudomicrostroma,phylloplanum,cluster40
9,20140211,24686_08,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_08_2SD,MK793804,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
10,20140211,24686_09,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_09_1SD,MK793805,6,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
11,20140211,24686_10,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_10_1SD,MK793806,6,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
12,20140211,24686_10,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_10_2SD,MK793807,1,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Gamsia,simplex,cluster78
13,20140211,24686_12,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_12_1SD,MK793808,7,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
14,20140211,24686_14,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_14_1DTM,MK793809,1,Ascomycota,Eurotiomycetes,Onygenales,incertae sedis,Chrysosporium,,cluster158
15,20140211,24686_14,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_14_1SD,MK793810,24,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
16,20140211,24686_14,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_14_2SD,MK793811,5,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,,,cluster39
17,20140228,24716_01,Myotis septentrionalis,Crawford,WI,WI2,24716_01_1DTM,MK793812,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
18,20140228,24716_01,Myotis septentrionalis,Crawford,WI,WI2,24716_01_1LNA,MK793813,2,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
19,20140228,24716_01,Myotis septentrionalis,Crawford,WI,WI2,24716_01_1SD,MK793814,6,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
20,20140228,24716_03,Myotis septentrionalis,Crawford,WI,WI2,24716_03_1DTM,MK793815,1,Ascomycota,,,,,,cluster144
21,20140228,24716_03,Myotis septentrionalis,Crawford,WI,WI2,24716_03_1SD,MK793816,1,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,cluster153
22,20140228,24716_03,Myotis septentrionalis,Crawford,WI,WI2,24716_03_2SD,MK793817,4,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,,,cluster170
23,20140228,24716_07,Myotis septentrionalis,Crawford,WI,WI2,24716_07_1LNA,MK793818,15,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,cluster11
24,20140228,24716_08,Myotis septentrionalis,Crawford,WI,WI2,24716_08_1LNA,MK793819,1,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,stemonitis,cluster184
25,20140228,24716_08,Myotis septentrionalis,Crawford,WI,WI2,24716_08_1SD,MK793820,5,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,leptobactrum,cluster21
26,20140228,24716_08,Myotis septentrionalis,Crawford,WI,WI2,24716_08_2LNA,MK793821,1,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,cluster11
27,20140228,24716_13,Perimyotis subflavus,Crawford,WI,WI2,24716_13_1SD,MK793822,3,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,beljakovae,cluster126
28,20140228,24716_14,Myotis septentrionalis,Crawford,WI,WI2,24716_14_1LNA,MK793823,50,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,,cluster11
29,20140228,24716_19,Myotis septentrionalis,Crawford,WI,WI2,24716_19_1SD,MK793824,1,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,delicatulum,cluster0
30,20140228,24716_19,Myotis septentrionalis,Crawford,WI,WI2,24716_19_2SD,MK793825,7,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
31,20140228,24716_19,Myotis septentrionalis,Crawford,WI,WI2,24716_19_4SD,MK793826,4,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,,cluster70
32,20140304,24728_02,Eptesicus fuscus,Jasper,IA,IA1,24728_02_1LNA,MK793827,1,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron,thaxteri,cluster42
33,20140304,24728_02,Eptesicus fuscus,Jasper,IA,IA1,24728_02_1SD,MK793828,3,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
34,20140304,24728_02,Eptesicus fuscus,Jasper,IA,IA1,24728_02_2SD,MK793829,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,victoriae,cluster72
35,20140304,24728_02,Eptesicus fuscus,Jasper,IA,IA1,24728_02_3SD,MK793830,4,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
36,20140304,24728_05,Eptesicus fuscus,Jasper,IA,IA1,24728_05_1SD,MK793831,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,,cluster2
37,20140304,24728_05,Eptesicus fuscus,Jasper,IA,IA1,24728_05_2SD,MK793832,2,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
38,20140304,24728_06,Eptesicus fuscus,Jasper,IA,IA1,24728_06_1SD,MK793833,2,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
39,20140304,24728_09,Eptesicus fuscus,Jasper,IA,IA1,24728_09_1SD,MK793834,3,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Acaulium,caviariforme,cluster57
40,20140304,24728_12,Eptesicus fuscus,Jasper,IA,IA1,24728_12_1SD,MK793835,1,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,carnescens,cluster71
41,20140304,24728_13,Eptesicus fuscus,Jasper,IA,IA1,24728_13_1SD,MK793836,5,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,,cluster9
