Sample Collection Date,Sample ID No.,Host Group,Host Species,Sample Location - County,Sample Location - State,Sample Location - Site,Isolate_ID_No.,Genbank,CFU,Fungus Classification - Phylum,Fungus Classification - Class,Fungus Classification - Order,Fungus Classification - Family,Fungus Classification -Genus,Fungus Classification - Species,OTU (cluster)
20140211,24686_01,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_01_1SD,MK793795,6,Ascomycota,Eurotiomycetes,Onygenales,Gymnoascaceae,NA,NA,cluster115
20140211,24686_01,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_01_2SD,MK793796,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
20140211,24686_02,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_02_1SD,MK793797,6,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,hansenii,cluster2
20140211,24686_02,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_02_2SD,MK793798,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_03,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_03_1SD,MK793799,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_04,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_04_1SD,MK793800,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_05,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_05_1SD,MK793801,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_06,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_06_1SD,MK793802,1,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_08,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_08_1SD,MK793803,3,Basidiomycota,Exobasidiomycetes,Microstromatales,incertae sedis,Pseudomicrostroma,phylloplanum,cluster40
20140211,24686_08,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_08_2SD,MK793804,3,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_09,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_09_1SD,MK793805,6,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_10,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_10_1SD,MK793806,6,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_10,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_10_2SD,MK793807,1,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Gamsia,simplex,cluster78
20140211,24686_12,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_12_1SD,MK793808,7,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_14,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_14_1DTM,MK793809,1,Ascomycota,Eurotiomycetes,Onygenales,incertae sedis,Chrysosporium,NA,cluster158
20140211,24686_14,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_14_1SD,MK793810,24,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Debaryomyces,NA,cluster2
20140211,24686_14,Resistant,Corynorhinus townsendii virginianus,Pendleton,WV,WV1,24686_14_2SD,MK793811,5,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,NA,NA,cluster39
20140228,24716_01,Susceptible,Myotis septentrionalis,Crawford,WI,WI2,24716_01_1DTM,MK793812,1,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,NA,cluster9
